Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"M4 Nut","Mount everything to the back plate",24,0.05,"https://cothings.net/products/ecrou-hexagonal-en-acier-inoxydable-304-m4","Cothings"
"M3 Nut","Mount the spacers to the front plate",24,0.09,"https://cothings.net/products/ecrou-hexagonal-en-acier-inoxydable-304-m3","Cothings"
"1Kg Hyper PLA Filament","Used to 3D print parts.",1,31.17,"https://2btrading.tn/filament-resine/10584-filament-hyper-pla-rfid-175mm-1kg-noir.html","2BTrading"
"Laser-cut parts","The frame of the project",1,6.09,"","FabLab"
"M3*16 Screws","Mount spacers to the front plate",24,0.07,"https://cothings.net/products/vis-a-tete-cylindrique-m3x20mm","Cothingd"
"M4*16 Screws","Mount everything to the back plate",24,0.07,"","BricoMode"
"M2*10 Screw","Mount the diffuser grids to the mounting plate",48,0.07,"https://cothings.net/products/copie-de-vis-a-tete-fraisee-m4x10?_pos=29&_sid=6fd5a4ea5&_ss=r","Cothings"
"5V 20A Power supply","Provide power to the matrix",1,13.48,"https://cothings.net/products/alimentation-5v-20a-100w","Cothings"
"WS2812B 5M 60LED/M RGB Strip","RGB LEDS to light up the matrix",1,25.28,"https://2btrading.tn/afficheurs-led-lcd/7301-ruban-ws2812b-addressable-led-rgb-5v-60leds-5050-5m.html","2B Trading"
"MAX4466 Microphone Module","It will enable the matrix to react to sounds",1,4.22,"https://cothings.net/products/micro-electret-amplifier-max4466-avec-gain-reglable","Cothings"
"ESP32-D1","The brain of this project. It will be the LED matrix controller.",1,7.90,"https://seli.tn/product/mini-esp32-d1-mini-carte-de-developpement-interface-micro-usb/","Seli"
